time,open,high,low,close
2021/12/25 10:30,397.87,398.41,396.94,396.99
2021/12/25 14:30,397.87,398.41,396.94,396.99
2021/12/25 18:30,397.87,398.41,396.94,396.99
2021/12/25 22:30,397.87,398.41,396.94,396.99
2021/12/26 02:30,397.87,398.41,396.94,396.99
2021/12/26 06:30,397.87,398.41,396.94,396.99
2021/12/26 10:30,397.87,398.41,396.94,396.99
2021/12/26 14:30,397.87,398.41,396.94,396.99
2021/12/26 18:30,397.87,398.41,396.94,396.99
2021/12/26 22:30,397.87,398.41,396.94,396.99
2021/12/27 02:30,397.87,398.41,396.94,396.99
2021/12/27 06:30,397.87,398.41,396.94,396.99
2021/12/27 10:30,397.87,398.41,396.94,396.99
2021/12/27 14:30,398.25,402.98,398.25,402.84
2021/12/27 18:30,402.85,403.47,402.29,403.46
2021/12/27 22:30,402.85,403.47,402.29,403.46
2021/12/28 02:30,402.85,403.47,402.29,403.46
2021/12/28 06:30,402.85,403.47,402.29,403.46
2021/12/28 10:30,402.85,403.47,402.29,403.46
2021/12/28 14:30,404.46,404.55,401.1,401.79
2021/12/28 18:30,401.79,402.55,400.72,401.71
2021/12/28 22:30,401.79,402.55,400.72,401.71
2021/12/29 02:30,401.79,402.55,400.72,401.71
2021/12/29 06:30,401.79,402.55,400.72,401.71
2021/12/29 10:30,401.79,402.55,400.72,401.71
2021/12/29 14:30,401.78,403.02,399.11,400.53
2021/12/29 18:30,400.6,402.45,400.37,401.59
2021/12/29 22:30,400.6,402.45,400.37,401.59
2021/12/30 02:30,400.6,402.45,400.37,401.59
2021/12/30 06:30,400.6,402.45,400.37,401.59
2021/12/30 10:30,400.6,402.45,400.37,401.59
2021/12/30 14:30,401.33,403.56,400.79,402.88
2021/12/30 18:30,402.93,403.12,399.76,400.19
2021/12/30 22:30,402.93,403.12,399.76,400.19
2021/12/31 02:30,402.93,403.12,399.76,400.19
2021/12/31 06:30,402.93,403.12,399.76,400.19
2021/12/31 10:30,402.93,403.12,399.76,400.19
2021/12/31 14:30,399.7,401.04,398.22,399.17
2021/12/31 18:30,399.11,399.32,397.34,397.56
2021/12/31 22:30,399.11,399.32,397.34,397.56
2022/01/01 02:30,399.11,399.32,397.34,397.56
2022/01/01 06:30,399.11,399.32,397.34,397.56
2022/01/01 10:30,399.11,399.32,397.34,397.56
2022/01/01 14:30,399.11,399.32,397.34,397.56
2022/01/01 18:30,399.11,399.32,397.34,397.56
2022/01/01 22:30,399.11,399.32,397.34,397.56
2022/01/02 02:30,399.11,399.32,397.34,397.56
2022/01/02 06:30,399.11,399.32,397.34,397.56
2022/01/02 10:30,399.11,399.32,397.34,397.56
2022/01/02 14:30,399.11,399.32,397.34,397.56
2022/01/02 18:30,399.11,399.32,397.34,397.56
2022/01/02 22:30,399.11,399.32,397.34,397.56
2022/01/03 02:30,399.11,399.32,397.34,397.56
2022/01/03 06:30,399.11,399.32,397.34,397.56
2022/01/03 10:30,399.11,399.32,397.34,397.56
2022/01/03 14:30,399.05,401.53,396.93,400.29
2022/01/03 18:30,400.29,401.94,400.19,401.77
2022/01/03 22:30,400.29,401.94,400.19,401.77
2022/01/04 02:30,400.29,401.94,400.19,401.77
2022/01/04 06:30,400.29,401.94,400.19,401.77
2022/01/04 10:30,400.29,401.94,400.19,401.77
2022/01/04 14:30,402.23,402.27,393.84,394.71
2022/01/04 18:30,394.66,397.76,393.29,396.49
2022/01/04 22:30,394.66,397.76,393.29,396.49
2022/01/05 02:30,394.66,397.76,393.29,396.49
2022/01/05 06:30,394.66,397.76,393.29,396.49
2022/01/05 10:30,394.66,397.76,393.29,396.49
2022/01/05 14:30,394.9,395.87,390.54,391.69
2022/01/05 18:30,391.72,393.02,384.05,384.21
2022/01/05 22:30,391.72,393.02,384.05,384.21
2022/01/06 02:30,391.72,393.02,384.05,384.21
2022/01/06 06:30,391.72,393.02,384.05,384.21
2022/01/06 10:30,391.72,393.02,384.05,384.21
2022/01/06 14:30,382.39,387.35,380.14,384.45
2022/01/06 18:30,384.47,386.64,383.06,384.07
2022/01/06 22:30,384.47,386.64,383.06,384.07
2022/01/07 02:30,384.47,386.64,383.06,384.07
2022/01/07 06:30,384.47,386.64,383.06,384.07
2022/01/07 10:30,384.47,386.64,383.06,384.07
2022/01/07 14:30,384.05,385.73,378.04,380.55
2022/01/07 18:30,380.52,381.91,379.17,379.82
2022/01/07 22:30,380.52,381.91,379.17,379.82
2022/01/08 02:30,380.52,381.91,379.17,379.82
2022/01/08 06:30,380.52,381.91,379.17,379.82
2022/01/08 10:30,380.52,381.91,379.17,379.82
2022/01/08 14:30,380.52,381.91,379.17,379.82
2022/01/08 18:30,380.52,381.91,379.17,379.82
2022/01/08 22:30,380.52,381.91,379.17,379.82
2022/01/09 02:30,380.52,381.91,379.17,379.82
2022/01/09 06:30,380.52,381.91,379.17,379.82
2022/01/09 10:30,380.52,381.91,379.17,379.82
2022/01/09 14:30,380.52,381.91,379.17,379.82
2022/01/09 18:30,380.52,381.91,379.17,379.82
2022/01/09 22:30,380.52,381.91,379.17,379.82
2022/01/10 02:30,380.52,381.91,379.17,379.82
2022/01/10 06:30,380.52,381.91,379.17,379.82
2022/01/10 10:30,380.52,381.91,379.17,379.82
2022/01/10 14:30,374.86,375.71,369.32,374.36
2022/01/10 18:30,374.4,380.64,373.96,380.37
2022/01/10 22:30,374.4,380.64,373.96,380.37
2022/01/11 02:30,374.4,380.64,373.96,380.37
2022/01/11 06:30,374.4,380.64,373.96,380.37
2022/01/11 10:30,374.4,380.64,373.96,380.37
2022/01/11 14:30,379.355,385.77,377.26,384.66
2022/01/11 18:30,384.75,385.97,384.19,385.9
2022/01/11 22:30,384.75,385.97,384.19,385.9
2022/01/12 02:30,384.75,385.97,384.19,385.9
2022/01/12 06:30,384.75,385.97,384.19,385.9
2022/01/12 10:30,384.75,385.97,384.19,385.9
2022/01/12 14:30,388.46,390.17,385.04,387.4
2022/01/12 18:30,387.18,388.0,386.51,387.43
2022/01/12 22:30,387.18,388.0,386.51,387.43
2022/01/13 02:30,387.18,388.0,386.51,387.43
2022/01/13 06:30,387.18,388.0,386.51,387.43
2022/01/13 10:30,387.18,388.0,386.51,387.43
2022/01/13 14:30,388.74,389.41,380.09,381.9
2022/01/13 18:30,381.8,382.95,376.72,377.66
2022/01/13 22:30,381.8,382.95,376.72,377.66
2022/01/14 02:30,381.8,382.95,376.72,377.66
2022/01/14 06:30,381.8,382.95,376.72,377.66
2022/01/14 10:30,381.8,382.95,376.72,377.66
2022/01/14 14:30,375.07,380.18,374.86,376.01
2022/01/14 18:30,375.88,380.34,375.49,380.13
2022/01/14 22:30,375.88,380.34,375.49,380.13
2022/01/15 02:30,375.88,380.34,375.49,380.13
2022/01/15 06:30,375.88,380.34,375.49,380.13
2022/01/15 10:30,375.88,380.34,375.49,380.13
2022/01/15 14:30,375.88,380.34,375.49,380.13
2022/01/15 18:30,375.88,380.34,375.49,380.13
